id,imdb_id,poster_path,title,movie_title,tag
369202 ,tt3743042,/s0tKb1otihZrL9VucqEkm4cX3tT.jpg,lake bodom,Lake Bodom,"lake bodom, horror,everi camper’ worst nightmar came true at lake bodom in 1960 when four teenag were stab to death while sleep in their tent. as the year pass and the case grew cold, the unsolv mysteri turn into an urban legend, a creepi campfir stori pass from gener to generation. now, a group of teenag arriv at the same campsite, hope to solv the murder by reconstruct it minut by minute. as night falls, it turn out that not all of them are there to play. tonight… it’ girl against boys. let the kill game begin., no happi camper here..., massmurd lake forest teenag largeknif camper lakebodommurd inspiredbytrueev volvo"
395985 ,tt5733210,/dpdLzLbPf0DSU8mgrGWB8Ih8XvZ.jpg,terra,Terra,"terra, documentari,a visual stun documentari that reflect human' relationship to other speci on earth as human becom more and more isol from nature., none, earth"
361705 ,tt5004766,/9UqIT5KX2zjCJldYaO3ok3FHL7j.jpg,birdboy: the forgotten children,Birdboy: The Forgotten Children,"birdboy: the forgotten children, anim,birdboy and hi anim friend plan their escap from an ecolog devast island in thi surreal, anim fantasy., none, "
373397 ,tt4747848,/xJRxYTdSFt98TpMFDPrAqq3Oony.jpg,refrigerant e cançõ de amor,Refrigerantes e Canções de Amor,"refrigerant e cançõ de amor, music comedi romanc,new luí galvão tele movi, none, "
398633 ,tt5737882,/84mgaHXhleUeiaeT0S5C0s0sGB8.jpg,dan soder: not special,Dan Soder: Not Special,"dan soder: not special, comedi,in dan soder' first hour-long special, he reveal the creepiest thing about hi grandmother, admit that hi recent breakup wa hi fault and rememb the hardest thing about be rais by a singl mom. throughout hi special, soder is so laid-back and charm that you'll be grate he wasn't actual possess by the devil that one time., none, stand-upcomedi comedi special"
380734 ,tt5127300,/nVAmamovbFGZtfKxQZxdVf78VO9.jpg,forsaken,Forsaken,"forsaken, horror,when a priest discov hi wife is deathli ill, he decid to go against hi faith and use hi knowledg of exorc to possess her in order to save her life., he ha abandon us, "
398137 ,tt3180912,/h7fMxriK1hmigT3gtFZPkQjgKtQ.jpg,the architect,The Architect,"the architect, drama comedi,when a coupl set out to build their dream house, they enlist the servic of an uncompromis modernist architect, who proce to build hi dream hous instead of theirs., a coupl hire a maverick architect, "
372640 ,tt4313614,/2V1MeQt6hKFZraYW3bE3tRobeRz.jpg,the veri privat life of mister sim,The Very Private Life of Mister Sim,"the veri privat life of mister sim, drama comedi,none, none, "
382873 ,tt4647482,/sSkj8IrYR4JNmNFRAMj7rSk4ocS.jpg,on the other side,On the Other Side,"on the other side, drama,20 year ago, vesna move her famili to zagreb, away from the event that almost destroy their lives. however, an unexpect call will bring back the memori of a secret that she ha been tri to hide all these years., none, telephonecal"
377852 ,tt4667788,/5IcOrTdlBejDtZzDR7mANj3cMGE.jpg,greet from fukushima,Greetings From Fukushima,"greet from fukushima, drama,a young german woman bond with an elderli japanes woman while tour the fukushima region of japan in the aftermath of the 2011 earthquake., none, womandirector"
318277 ,tt4329244,/4DfNpuSD2rZdOKooULiFXqbpcer.jpg,larri kramer in love & anger,Larry Kramer In Love & Anger,"larri kramer in love & anger, histori documentari,from the onset of the aid epidemic, author larri kramer emerg as a fieri activist, an old testament-styl prophet full of righteou furi who denounc both the will inact of the govern and the refus of the gay commun to curb potenti riski behaviors. co-found of both the servic organ gay men' health crisi and the direct action protest group act up, kramer wa vilifi by some who saw hi critic to be an express of self-hatred, while lioniz by other who credit him with wake up the gay commun — and, eventually, the govern and medic establish — to the devast of the disease., he took on a caus and inspir a revolut, aid protest womandirector gaycultur"
